"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"SPX","487775","","","","","",""
"... 0","8439","2%","","","","",""
"... 1","1788","0%","","","","",""
"... N/A","477548","98%","","","","",""
"Uns_SDX","487775","0.67","0.52","0","0","1","5"
"Tot_Overall_SDX","487775","22","8.8","2","16","27","123"
"Tot_Dis_SDX","487775","1.1","0.34","0","1","1","10"
